CO,AB,FACID,DIS,FNAME,FSTREET,FCITY,FZIP,FSIC,COID,TS,HRA,CHINDEX,AHINDEX,DISN,CHAPIS,CERR_CODE,EMS
19,SC,4988,SC,SULLY MILLER CONTRACTING CO.,5625  SOUTHERN AVE,SOUTH GATE,90280,1611,LA,,,,,SOUTH COAST AQMD,,,0.28426903
36,MD,2933,MOJ,SULLY-MILLER CONTRACTING CO- AIR EXPRESSWAY,15650 AIR EXPRESSWAY,VICTORVILLE,92392,1429,SBD,0,8.75,0.68,0.25,MOJAVE DESERT AQMD,,,0.371392205
19,SC,19390,SC,SULLY-MILLER CONTRACTING CO.,11462  PENROSE ST,SUN VALLEY,91352,1611,LA,,,,,SOUTH COAST AQMD,,,0.15376292
54,SJV,8313,SJU,SUN VALLEY PACKING CO,7381 AVENUE 432,REEDLEY,,4221,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,0
51,SV,16004,FR,SUNSWEET GROWERS INC.,901 NORTH WALTON AVENUE,YUBA CITY,95991,723,SUT,4.84,,,,FEATHER RIVER AQMD,,,0
15,SJV,2747,SJU,SUNVIEW COLD STORAGE,31548 PETERSON RD,MCFARLAND,93250,4222,KER,,,,,SAN JOAQUIN VALLEY APCD,,,367.5000072
54,SJV,2785,SJU,SUNVIEW COLD STORAGE,315 N FRONT ST,EARLIMART,,4222,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,0
37,SD,10158,SD,SUPERIOR READY MIX LP,500 N TULIP ST,ESCONDIDO,92025,5032,SD,,,,,SAN DIEGO COUNTY APCD,,,0.068556672
52,SV,239,TEH,TEHAMA COUNTY LANDFILL,19995 PLYMIRE ROAD,RED BLUFF,96080,4953,TEH,0.01,0,0,0,TEHAMA COUNTY APCD,,,0.004861968
34,SV,2,SAC,TEICHERT PERKINS PLANT,8760 KIEFER BLVD,SACRAMENTO,95826,1423,SAC,82.89,,,,SACRAMENTO METROPOLITAN AQMD,,,0.592961181
20,SJV,3301,SJU,THE ALMOND COMPANY,22782 ROAD 9,CHOWCHILLA,93610,723,MAD,0,,,,SAN JOAQUIN VALLEY APCD,,,2184.999943
20,SJV,8416,SJU,THE ALMOND COMPANY,2900 AIRPORT DRIVE,MADERA,,723,MAD,2.75,,,,SAN JOAQUIN VALLEY APCD,,,0
39,SJV,5053,SJU,"THE DERUOSI GROUP, LP",25055 E ARTHUR RD,ESCALON,95320,723,SJ,5.77,,,,SAN JOAQUIN VALLEY APCD,,,123.999998
47,NEP,31,SIS,TIMBER PRODUCTS,130 N PHILLIPE LANE,YREKA,96097,2436,SIS,,,,,SISKIYOU COUNTY APCD,,,0.00094
56,SCC,7340,VEN,TOLAND ROAD LANDFILL,3500 TOLAND ROAD,SANTA PAULA,93060,4953,VEN,,,,,VENTURA COUNTY APCD,,,0.06951606
19,SC,181667,SC,TORRANCE REFINING COMPANY LLC,3700 W 190TH ST,TORRANCE,90504,2911,LA,,,,,SOUTH COAST AQMD,,,66.79713128
15,SJV,634,SJU,TREEHOUSE CALIFORNIA ALMONDS LLC,2114 ROAD 144,DELANO,,723,KER,0.12,,,,SAN JOAQUIN VALLEY APCD,,,0
54,SJV,634,SJU,TREEHOUSE CALIFORNIA ALMONDS LLC,2115 ROAD 144,DELANO,93215,723,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,30.99999949
50,SJV,8778,SJU,TURLOCK WALNUT COMPANY,400 D ST,TURLOCK,95380,723,STA,0,,,,SAN JOAQUIN VALLEY APCD,,,0
57,SV,25,YS,"UNIVERSITY OF CALIFORNIA, DAVIS",CAMPUS AREA,DAVIS,95616,8221,YOL,0,,,,YOLO-SOLANO AQMD,,,0.0181
36,MD,591,MOJ,USMC AGCC,"BUILDING 1418, 4TH ST, BOX 78810",TWENTYNINE PALMS,92778,9711,SBD,9.91,,,,MOJAVE DESERT AQMD,,,0.000213
48,SF,12626,BA,VALERO REFINING COMPANY - CALIFORNIA,3400 E 2ND STREET,BENICIA,94510,2911,SOL,7579,9.1,0.02,0,BAY AREA AQMD,,,0.218
51,SV,34015,FR,VALLEY VIEW PACKING CO,7547 SAWTELLE AVE,YUBA CITY,95991,2034,SUT,0,,,,FEATHER RIVER AQMD,,,0
36,MD,3069,MOJ,VICTORVILLE SCLA CENTRAL TREATMENT FACILITY,"SO 1/2 SEC 14, T6N R5W",VICTORVILLE,92392,4952,SBD,4.54,,,,MOJAVE DESERT AQMD,,,54.2386715
19,MD,1759,AV,VULCAN - 7107 E AVENUE T,7107 EAST AVENUE T,LITTLEROCK,93543,2951,LA,1.75,,,,ANTELOPE VALLEY AQMD,,,0.04313908
15,SJV,363,SJU,"VULCAN MATERIALS CO, WESTERN DIV",8517 PANAMA LN,BAKERSFIELD,93311,2951,KER,4.93,,,,SAN JOAQUIN VALLEY APCD,,,0.054939498
36,SC,181597,SC,VULCAN MATERIALS COMPANY,5705 N INSTITUTION RD,SAN BERNARDINO,92407,9999,SBD,,,,,SOUTH COAST AQMD,,,0.06161133
37,SD,200706271,SD,VULCAN MATERIALS COMPANY WESTERN DIVISION,7522 PASEO DE LA FUENTE,SAN DIEGO,92154,1442,SD,,,,,SAN DIEGO COUNTY APCD,,,5.97012E-05
37,SD,6306,SD,VULCAN MATERIALS WESTERN DIVISION CALMAT,10051 BLACK MOUNTAIN RD,SAN DIEGO,92126,1442,SD,,1,,,SAN DIEGO COUNTY APCD,,,0.09083928
16,SJV,3071,SJU,WARMERDAM PACKING,15650 EXCELSIOR AVE,HANFORD,93230,2033,KIN,,,,,SAN JOAQUIN VALLEY APCD,,,129.7000051
1,SF,2066,BA,WASTE MANAGEMENT OF ALAMEDA COUNTY,10840 ALTAMONT PASS RD,LIVERMORE,94551,4953,ALA,1156.2,7.9,0.11,,BAY AREA AQMD,,,0.4744
54,SJV,8135,SJU,WAWONA PACKING,12133 AVENUE 408,CUTLER,,723,TUL,0.38,,,,SAN JOAQUIN VALLEY APCD,,,0.733714412
54,SJV,3338,SJU,WES PAK INC,4572 AVENUE 400,DINUBA,93618,723,TUL,0.07,,,,SAN JOAQUIN VALLEY APCD,,,0
51,SV,16002,FR,WILBUR PACKING COMPANY,1500 EAGER ROAD,LIVE OAK,95953,723,SUT,2.52,,,,FEATHER RIVER AQMD,,,165
51,SV,33020,FR,WINDSWEPT FARMS,16993 CRANMORE ROAD,ROBBINS,,723,SUT,0.15,,,,FEATHER RIVER AQMD,,,1100
15,SJV,377,SJU,WONDERFUL PISTACHIOS & ALMONDS,3.5 MILES N OF HWY 46 ON HWY 33,LOST HILLS,93249,723,KER,,,,,SAN JOAQUIN VALLEY APCD,,,0
