CO,AB,FACID,DIS,FNAME,FSTREET,FCITY,FZIP,FSIC,COID,TS,HRA,CHINDEX,AHINDEX,DISN,CHAPIS,CERR_CODE,EMS
50,SJV,4474,SJU,GOLDEN STATE FOOD LLC,719 E GRAYSON RD,MODESTO,95358,723,STA,,,,,SAN JOAQUIN VALLEY APCD,,,0
50,SJV,6082,SJU,GROWER DIRECT NUT COMPANY,2288 GEER RD,HUGHSON,95326,723,STA,,,,,SAN JOAQUIN VALLEY APCD,,,112.0000035
24,SJV,4751,SJU,HILLTOP RANCH,8235 W TURLOCK RD,BALLICO,95303,723,MER,,,,,SAN JOAQUIN VALLEY APCD,,,954.9999833
10,SJV,633,SJU,"HMC GROUP COLD STORAGE, THE",13138 S BETHEL AVE,KINGSBURG,93631,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,251.3400677
54,SJV,2645,SJU,"HORIZON NUT, LLC",26487 N HIGHWAY 99,TULARE,93274,723,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,0
15,SJV,4216,SJU,JASMINE VINEYARDS,33319 POND RD,DELANO,93215,172,KER,,,,,SAN JOAQUIN VALLEY APCD,,,0
54,SJV,2716,SJU,JODY FRESH COOLING COMPANY,4731 AVENUE 400,DINUBA,93618,4222,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,222.0000029
24,SJV,3032,SJU,"JOHN B. SANFILIPPO & SON, INC.",29241 COTTONWOOD RD,GUSTINE,95322,723,MER,,,,,SAN JOAQUIN VALLEY APCD,,,0
10,SJV,3078,SJU,KINGSBURG APPLE PARTNERS INC,10363 E DAVIS RD,KINGSBURG,93631,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,0
54,SJV,3089,SJU,KOOL KOUNTRY LLC,42874 ROAD 64,REEDLEY,93654,4222,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,1501.700044
10,SJV,4342,SJU,KY PACKING LLC,8686 S. RIO VISTA,REEDLEY,93654,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,695.5999732
54,SJV,3515,SJU,LEGACY PACKING AND COLD STORAGE,38773 ROAD 48,DINUBA,93618,723,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,800.0000119
39,SJV,5058,SJU,LINDEN NUT CO LLC,8452 N DEMARTINI LN,LINDEN,95236,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,200.000003
39,SJV,1152,SJU,LODI EXPORT CORP,48 E OAK ST,LODI,95241,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,0
39,SJV,1103,SJU,M & R COMPANY,405 S MAIN ST,LODI,95240,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,10263.99994
50,SJV,4963,SJU,MID VALLEY NUT COMPANY,2065 GEER RD,HUGHSON,95326,723,STA,,,,,SAN JOAQUIN VALLEY APCD,,,234.9999994
36,MD,11800001,MOJ,MITSUBISHI CEMENT - CUSHENBURY PLANT,5808 STATE HIGHWAY 18,LUCERNE VALLEY,92356,3241,SBD,8.69,,,,MOJAVE DESERT AQMD,,,4177.537309
50,SJV,2055,SJU,MONTE VISTA FARMING COMPANY,5043 MONTPELIER RD,DENAIR,95316,723,STA,,,,,SAN JOAQUIN VALLEY APCD,,,189.000003
54,SJV,2810,SJU,MOUNTAIN VIEW COLD STORAGE,4275 AVENUE 416,REEDLEY,93654,4222,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,1379.199982
15,MD,21,KER,NATIONAL CEMENT CO,5 MI. N OF HWY 138-5 MI E/I-5,LEBEC,93243,3241,KER,3141.47,,,,EASTERN KERN APCD,,,10943.05
36,MD,8800567,MOJ,NAVAL AIR WEAPONS STATION MD,"429 E. BOWEN RD., MS 4014",CHINA LAKE,93555,9711,SBD,4.1,,,,MOJAVE DESERT AQMD,,,0.002835279
54,SJV,7377,SJU,NEW LEAF COLD STORAGE,3170 AVENUE 360,TRAVER,,4222,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,644.7999924
39,SJV,588,SJU,O G  PACKING,2097 BEYER LN,STOCKTON,95215,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,4198.000074
20,SJV,981,SJU,P-R FARMS,17710 ROAD 24,MADERA,93637,723,MAD,,,,,SAN JOAQUIN VALLEY APCD,,,1106.999993
10,SJV,946,SJU,POINDEXTER NUT CO,5414 E FLORAL AVE,SELMA,93662,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,1561.100006
24,SJV,1397,SJU,PUSATERI NUT COMPANY,126 4TH ST,GUSTINE,95322,723,MER,,,,,SAN JOAQUIN VALLEY APCD,,,75.00000298
39,SJV,5000,SJU,RDJ FARMS DBA DANAMARK,7367 E MARIPOSA RD,STOCKTON,95215,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,769.9999809
31,SV,212,PLA,RIO BRAVO,3100 SPARTA COURT,LINCOLN,95648,4911,PLA,,,,,PLACER COUNTY APCD,,,17.9
39,SJV,8844,SJU,"RIVERMAID TRADING, CO.",6011 EAST PINE,LODI,95241,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,3575.999975
51,SV,16000,FR,SACRAMENTO PACKING INC,833 TUDOR,YUBA CITY,95991,723,SUT,0.54,,,,FEATHER RIVER AQMD,,,1868
10,SJV,1076,SJU,SAN JOAQUIN FIGS,3564 N HAZEL AVE,FRESNO,93722,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,768.0000067
10,SJV,3029,SJU,SAN JOAQUIN FIGS,7082 ELGIN ST,FRESNO,93722,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,1180.500031
7,SF,11,BA,SHELL MARTINEZ REFINERY,3485 PACHECO BLVD,MARTINEZ,94553,2911,CC,,9,0.02,,BAY AREA AQMD,,,16.02356592
58,SV,34016,FR,SHOEI FOODS (U.S.A.) INC,1900 FEATHER RIVER BLVD,OLIVEHURST,,723,YUB,0.49,,,,FEATHER RIVER AQMD,,,15987
10,SJV,2093,SJU,SIMONIAN FRUIT COMPANY,350 N SEVENTH ST,FOWLER,93625,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,0
54,SJV,8313,SJU,SUN VALLEY PACKING CO,7381 AVENUE 432,REEDLEY,,4221,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,0
51,SV,16004,FR,SUNSWEET GROWERS INC.,901 NORTH WALTON AVENUE,YUBA CITY,95991,723,SUT,,,,,FEATHER RIVER AQMD,,,7739
15,SJV,2747,SJU,SUNVIEW COLD STORAGE,31548 PETERSON RD,MCFARLAND,93250,4222,KER,,,,,SAN JOAQUIN VALLEY APCD,,,383.9999884
54,SJV,2785,SJU,SUNVIEW COLD STORAGE,315 N FRONT ST,EARLIMART,,4222,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,0
34,SV,14,SAC,TEICHERT GRANTLINE PLANT,3417 GRANTLINE RD,RANCHO CORDOVA,95742,1423,SAC,0.14,,,,SACRAMENTO METROPOLITAN AQMD,,,0
34,SV,2,SAC,TEICHERT PERKINS PLANT,8760 KIEFER BLVD,SACRAMENTO,95826,1423,SAC,82.89,,,,SACRAMENTO METROPOLITAN AQMD,,,0.592961181
34,SV,192,SAC,TEICHERT PERKINS PLANT,8760 KIEFER BLVD,SACRAMENTO,95826,1423,SAC,82.89,,,,SACRAMENTO METROPOLITAN AQMD,,,0.592961181
20,SJV,8416,SJU,THE ALMOND COMPANY,2900 AIRPORT DRIVE,MADERA,,723,MAD,,,,,SAN JOAQUIN VALLEY APCD,,,699.5000243
39,SJV,5053,SJU,"THE DERUOSI GROUP, LP",25055 E ARTHUR RD,ESCALON,95320,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,3767.800093
1,SF,12811,BA,THE TERMINIX INTERNATIONAL CO,14558 WICKS BOULEVARD,SAN LEANDRO,94577,7342,ALA,,,,,BAY AREA AQMD,,,292.9999831
15,SJV,634,SJU,TREEHOUSE CALIFORNIA ALMONDS LLC,2114 ROAD 144,DELANO,93215,723,KER,,,,,SAN JOAQUIN VALLEY APCD,,,0
15,MD,601,KER,"TRICAL, INC",1667 PURDY AVENUE,MOJAVE,93501,2879,KER,4.37,,,,EASTERN KERN APCD,,,365.5942649
50,SJV,8778,SJU,TURLOCK WALNUT COMPANY,400 D ST,TURLOCK,95380,723,STA,,,,,SAN JOAQUIN VALLEY APCD,,,0
34,SV,171,SAC,UCD MEDICAL CENTER,4800 2ND AVENUE,SACRAMENTO,95817,8062,SAC,,,,,SACRAMENTO METROPOLITAN AQMD,,,0
51,SV,34015,FR,VALLEY VIEW PACKING CO,7547 SAWTELLE AVE,YUBA CITY,95991,2034,SUT,0,,,,FEATHER RIVER AQMD,,,780
36,MD,4603069,MOJ,VICTORVILLE SCLA CENTRAL TREATMENT FACILITY,"SO 1/2 SEC 14, T6N R5W",VICTORVILLE,92392,4952,SBD,,,,,MOJAVE DESERT AQMD,,,0.014178
54,SJV,968,SJU,VINCENT B ZANINOVICH & SONS,20715 AVE 8,RICHGROVE,,4222,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,0
16,SJV,3071,SJU,WARMERDAM PACKING,15650 EXCELSIOR AVE,HANFORD,93230,2033,KIN,,,,,SAN JOAQUIN VALLEY APCD,,,4980.000019
1,SF,2066,BA,WASTE MANAGEMENT OF ALAMEDA COUNTY,10840 ALTAMONT PASS RD,LIVERMORE,94551,4953,ALA,,,,,BAY AREA AQMD,,,0.696244159
54,SJV,8135,SJU,WAWONA PACKING,12133 AVENUE 408,CUTLER,,723,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,0
54,SJV,3338,SJU,WES PAK INC,4572 AVENUE 400,DINUBA,93618,723,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,519.9999809
15,SJV,377,SJU,WONDERFUL PISTACHIOS & ALMONDS,3.5 MILES N OF HWY 46 ON HWY 33,LOST HILLS,93249,723,KER,,,,,SAN JOAQUIN VALLEY APCD,,,0
