CO,AB,FACID,DIS,FNAME,FSTREET,FCITY,FZIP,FSIC,COID,TS,HRA,CHINDEX,AHINDEX,DISN,CHAPIS,CERR_CODE,EMS
39,SJV,717,SJU,"A. SAMBADO & SON, INC.",16461 E COMSTOCK RD,LINDEN,95236,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,4749.500052
34,SV,192,SAC,A. TEICHERT & SON,8760 KIEFER BLVD,SACRAMENTO,95826,2951,SAC,82.9,1.53,0.04,0.34,SACRAMENTO METROPOLITAN AQMD,N,,0.592961181
34,SV,1,SAC,"AEROJET ROCKETDYNE, INC.",AEROJET ROAD & HWY 50,RANCHO CORDOVA,95852,3761,SAC,1264,1.49,0.01,0.63,SACRAMENTO METROPOLITAN AQMD,N,,0.00000174
50,SJV,8521,SJU,ALPINE PACIFIC NUT COMPANY INC,6413 E KEYES RD,HUGHSON,95326,723,STA,0.72,,,,SAN JOAQUIN VALLEY APCD,,,594.9999988
27,NCC,570,MBU,AMERESCO (JOHNSON CANYON LANDFILL),31400 JOHNSON CANYON ROAD,GONZALES,93926,4953,MON,8.2,,,,MONTEREY BAY AIR RESOURCES DISTRICT,,,0.00560286
39,SJV,8247,SJU,AMERESCO SAN JOAQUIN LLC,6484 N WAVERLY RD,LINDEN,,4911,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,0.069132783
56,SCC,845,VEN,ANACAPA BERRY FARMS,4300 ETTING ROAD,OXNARD,93033,5148,VEN,0.03,,,,VENTURA COUNTY APCD,,,29.6
24,SJV,1166,SJU,ANDERSEN NUT COMPANY,3050 S HUNT RD,GUSTINE,95322,723,MER,5.38,,,,SAN JOAQUIN VALLEY APCD,,,14.00000043
51,SV,24014,FR,ARDENT MILLS LLC,1200 PUTMAN AVENUE,,95991,723,SUT,2.88,,,,FEATHER RIVER AQMD,,,0
39,SJV,7250,SJU,AVANTI NUT COMPANY,9982 PEZZI LANE,STOCKTON,95215,723,SJ,0,,,,SAN JOAQUIN VALLEY APCD,,,0
36,MD,500,MOJ,BARSTOW WASTEWATER TREATMENT PLANT,2200 E RIVERSIDE DRIVE,BARSTOW,92311,4952,SBD,9.05,,,,MOJAVE DESERT AQMD,,,7.270201594
4,SV,111,BUT,BERBERIAN NUT COMPANY,6100 WILSON LANDING ROAD,CHICO,95973,2034,BUT,,,,,BUTTE COUNTY AQMD,,,1458
12,NC,97,NCU,BLUE LAKE POWER,200 TAYLOR WAY,BLUE LAKE,95525,4911,HUM,4.99,,,,NORTH COAST UNIFIED AQMD,,A,0
10,SJV,3865,SJU,"BOGHOSIAN RAISIN PACKING COMPANY, INC.",726 S 8TH ST,FOWLER,93625,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,0
36,MD,169,MOJ,CALMAT - 20181 NAT'L TRAILS,20181 NATIONAL TRAILS HIGHWAY,ORO GRANDE,92368,2951,SBD,9.17,,,,MOJAVE DESERT AQMD,,,0.05798627
56,SCC,25,VEN,CALMAT CO.,6029 VINEYARD AVE.,OXNARD,93030,2951,VEN,,1.35,0.02,0.78,VENTURA COUNTY APCD,,,0.007894446
37,SD,27,SD,CANYON ROCK,7500 MISSION GORGE RD,SAN DIEGO,92120,3241,SD,,,,,SAN DIEGO COUNTY APCD,,,0.405146117
11,SV,1175,GLE,CARRIERE FAMILY FARMS (PROCESSING PLANT),1640 HWY 45,GLENN,95943,723,GLE,,,,,GLENN COUNTY APCD,,,180
7,SF,10,BA,CHEVRON PRODUCTS COMPANY,841 CHEVRON WAY,RICHMOND,94801,2911,CC,,8,0.02,,BAY AREA AQMD,,,8.69999984
39,SJV,3266,SJU,CHINCHIOLO STEMILT CALIFORNIA LLC,4799 N  JACK TONE RD,STOCKTON,95215,2099,SJ,4.42,,,,SAN JOAQUIN VALLEY APCD,,,5756.999821
10,SJV,317,SJU,CHOOLJIAN BROS PACKING CO,3192 S INDIANOLA,SANGER,93657,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,0
33,MD,1422,MOJ,CHUCKAWALLA VALLEY STATE PRISON,19005 WILEY'S WELL ROAD,BLYTHE,,9223,RIV,7,,,,MOJAVE DESERT AQMD,,,22.88037496
20,SJV,4265,SJU,D.V. ENTERPRISES,20282 ROAD 21,MADERA,93638,723,MAD,0.43,,,,SAN JOAQUIN VALLEY APCD,,,389.9999857
39,SJV,2395,SJU,"DELTA PACKING CO. OF LODI,INC.",6021 E KETTLEMAN LANE,LODI,95240,723,SJ,2.98,,,,SAN JOAQUIN VALLEY APCD,,,5409.999847
