"CO","AB","FACID","DIS","FNAME","FSTREET","FCITY","FZIP","FSIC","COID","TS","HRA","CHINDEX","AHINDEX","DISN","CHAPIS","CERR_CODE","EMS","year","county","full_address","latitude","longitude"
"51","SV","33010","FR","STEPHENS DRYERS","8540 GARDEN HWY","YUBA CITY","95991","723","SUT","4.81",NA,NA,NA,"FEATHER RIVER AQMD",NA,NA,"850","2017","SUTTER","8540 GARDEN HWY, YUBA CITY, SUTTER, CA",39.113214,-121.6173582
"51","SV","16004","FR","SUNSWEET GROWERS INC.","901 NORTH WALTON AVENUE","YUBA CITY","95991","723","SUT","1.67",NA,NA,NA,"FEATHER RIVER AQMD",NA,NA,"0","2017","SUTTER","901 NORTH WALTON AVENUE, YUBA CITY, SUTTER, CA",39.1387038,-121.6412971
"15","SJV","2747","SJU","SUNVIEW COLD STORAGE","31548 PETERSON RD","MCFARLAND","93250","4222","KER",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"1277.899981","2017","KERN","31548 PETERSON RD, MCFARLAND, KERN, CA",35.704532,-119.2284268
"54","SJV","2785","SJU","SUNVIEW COLD STORAGE","315 N FRONT ST","EARLIMART",NA,"4222","TUL",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2017","TULARE","315 N FRONT ST, EARLIMART, TULARE, CA",35.8862975,-119.2741478
"34","SV","2","SAC","TEICHERT PERKINS PLANT","8760 KIEFER BLVD","SACRAMENTO","95826","1423","SAC","82.89",NA,NA,NA,"SACRAMENTO METROPOLITAN AQMD",NA,NA,"0.592961181","2017","SACRAMENTO","8760 KIEFER BLVD, SACRAMENTO, SACRAMENTO, CA",38.5469968,-121.3758623
"20","SJV","8416","SJU","THE ALMOND COMPANY","2900 AIRPORT DRIVE","MADERA",NA,"723","MAD","2.75",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"3200.000048","2017","MADERA","2900 AIRPORT DRIVE, MADERA, MADERA, CA",36.9921045,-120.1064319
"1","SF","12811","BA","THE TERMINIX INTERNATIONAL CO","14558 WICKS BOULEVARD","SAN LEANDRO","94577","7342","ALA",NA,NA,NA,NA,"BAY AREA AQMD",NA,NA,"292.9999831","2017","ALAMEDA","14558 WICKS BOULEVARD, SAN LEANDRO, ALAMEDA, CA",37.6962046,-122.1644649
"15","SJV","634","SJU","TREEHOUSE CALIFORNIA ALMONDS LLC","2114 ROAD 144","DELANO","93215","723","KER","0.12",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2017","KERN","2114 ROAD 144, DELANO, KERN, CA",35.7357696,-119.2360254
"15","MD","601","KER","TRICAL, INC","1667 PURDY AVENUE","MOJAVE","93501","2879","KER","0.7",NA,NA,NA,"EASTERN KERN APCD",NA,NA,"365.5942649","2017","KERN","1667 PURDY AVENUE, MOJAVE, KERN, CA",35.0251787,-118.1460147
"50","SJV","8778","SJU","TURLOCK WALNUT COMPANY","400 D ST","TURLOCK","95380","723","STA",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2017","STANISLAUS","400 D ST, TURLOCK, STANISLAUS, CA",37.4875556,-120.8456215
"34","SV","171","SAC","UCD MEDICAL CENTER","4800 2ND AVENUE","SACRAMENTO","95817","8062","SAC",NA,NA,NA,NA,"SACRAMENTO METROPOLITAN AQMD",NA,NA,"0","2017","SACRAMENTO","4800 2ND AVENUE, SACRAMENTO, SACRAMENTO, CA",38.5504767,-121.451504
"1","SF","2066","BA","WASTE MANAGEMENT OF ALAMEDA COUNTY","10840 ALTAMONT PASS RD","LIVERMORE","94551","4953","ALA",NA,NA,NA,NA,"BAY AREA AQMD",NA,NA,"0.717973804","2017","ALAMEDA","10840 ALTAMONT PASS RD, LIVERMORE, ALAMEDA, CA",37.7163616,-121.7078948
"54","SJV","8135","SJU","WAWONA PACKING","12133 AVENUE 408","CUTLER",NA,"723","TUL","0.38",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2017","TULARE","12133 AVENUE 408, CUTLER, TULARE, CA",36.530327,-119.3018447
"54","SJV","3338","SJU","WES PAK INC","4572 AVENUE 400","DINUBA","93618","723","TUL","0.07",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"271.8000114","2017","TULARE","4572 AVENUE 400, DINUBA, TULARE, CA",36.5342308,-119.3805667
"56","SCC","845","VEN","ANACAPA BERRY FARMS","4300 ETTING RD.","OXNARD","93033","723","VEN","0.03",NA,NA,NA,"VENTURA COUNTY APCD",NA,NA,"84","2018","VENTURA","4300 ETTING RD., OXNARD, VENTURA, CA",34.1617597,-119.1461202
"51","SV","24014","FR","ANDEAN NATURALS INC","1200 PUTMAN AVENUE",NA,"95991","723","SUT","2.88",NA,NA,NA,"FEATHER RIVER AQMD",NA,NA,"23","2018","SUTTER","1200 PUTMAN AVENUE, NA, SUTTER, CA",39.1112432,-121.6090641
"24","SJV","1166","SJU","ANDERSEN NUT COMPANY","3050 S HUNT RD","GUSTINE","95322","723","MER","5.38",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"1799.999952","2018","MERCED","3050 S HUNT RD, GUSTINE, MERCED, CA",37.2450245,-120.9939363
"12","NC","97","NCU","BLUE LAKE POWER","200 TAYLOR WAY","BLUE LAKE","95525","4911","HUM","4.99",NA,NA,NA,"NORTH COAST UNIFIED AQMD",NA,"A","0","2018","HUMBOLDT","200 TAYLOR WAY, BLUE LAKE, HUMBOLDT, CA",40.878664,-123.994479
"10","SJV","3865","SJU","BOGHOSIAN RAISIN PACKING COMPANY, INC.","726 S 8TH ST","FOWLER","93625","723","FRE",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2018","FRESNO","726 S 8TH ST, FOWLER, FRESNO, CA",36.6243185,-119.6762548
"36","MD","169","MOJ","CALMAT - 20181 NAT'L TRAILS","20181 NATIONAL TRAILS HIGHWAY","ORO GRANDE","92368","2951","SBD","1.01",NA,NA,NA,"MOJAVE DESERT AQMD",NA,NA,"0.02522849","2018","SAN BERNARDINO","20181 NATIONAL TRAILS HIGHWAY, ORO GRANDE, SAN BERNARDINO, CA",34.5959326,-117.334549
"10","SJV","317","SJU","CHOOLJIAN BROS PACKING CO","3192 S INDIANOLA","SANGER","93657","723","FRE",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2018","FRESNO","3192 S INDIANOLA, SANGER, FRESNO, CA",36.7213904,-119.5831314
"20","SJV","4265","SJU","D.V. ENTERPRISES","20282 ROAD 21","MADERA","93638","723","MAD",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"349.999994","2018","MADERA","20282 ROAD 21, MADERA, MADERA, CA",37.0836557,-120.1659509
"39","SJV","2395","SJU","DELTA PACKING CO. OF LODI,INC.","6021 E KETTLEMAN LANE","LODI","95240","723","SJ",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"6000","2018","SAN JOAQUIN","6021 E KETTLEMAN LANE, LODI, SAN JOAQUIN, CA",38.1159094,-121.2424831
"12","NC","96","NCU","DG FAIRHAVEN POWER COMPANY","97 BAY STREET","SAMOA","95564","4911","HUM","16",NA,NA,NA,"NORTH COAST UNIFIED AQMD",NA,"A","12.24074","2018","HUMBOLDT","97 BAY STREET, SAMOA, HUMBOLDT, CA",40.8183358,-124.1856962
"39","SJV","285","SJU","DIAMOND FOODS, LLC","1050 S DIAMOND ST","STOCKTON","95201","723","SJ",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"620.0000048","2018","SAN JOAQUIN","1050 S DIAMOND ST, STOCKTON, SAN JOAQUIN, CA",37.9453226,-121.2558398
"56","SCC","507","VEN","DRISCOLL STRAWBERRY ASSOCIATES","3939 E HUENEME RD","OXNARD","93030","5148","VEN","0.29",NA,NA,NA,"VENTURA COUNTY APCD",NA,NA,"510","2018","VENTURA","3939 E HUENEME RD, OXNARD, VENTURA, CA",34.147292,-119.1415054
"1","SF","591","BA","EAST BAY MUNICIPAL UTILITY DISTRICT","2020 WAKE AVENUE","OAKLAND","94607","4952","ALA",NA,"8","0.06",NA,"BAY AREA AQMD",NA,NA,"10.12763543","2018","ALAMEDA","2020 WAKE AVENUE, OAKLAND, ALAMEDA, CA",37.8249523,-122.2958661
"20","SJV","8250","SJU","EL DORADO ALMONDS LLC","21888 AVENUE 14","MADERA",NA,"723","MAD","0.88",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"3000","2018","MADERA","21888 AVENUE 14, MADERA, MADERA, CA",36.9528289,-120.148451
"39","SJV","239","SJU","FELIX COSTA","13160 N WEST LN","LODI","95240","723","SJ","0.01",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"123.098135","2018","SAN JOAQUIN","13160 N WEST LN, LODI, SAN JOAQUIN, CA",38.1009745,-121.2786765
"10","SJV","973","SJU","FIG GARDEN PACKING INC.","5545 W DAKOTA AVE","FRESNO","93722","723","FRE",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"167.9999977","2018","FRESNO","5545 W DAKOTA AVE, FRESNO, FRESNO, CA",36.7861886,-119.8903315
"50","SJV","3838","SJU","FRAZIER NUT FARMS, INC","10830 YOSEMITE BLVD","WATERFORD","95386","723","STA","3.85",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"209.9999934","2018","STANISLAUS","10830 YOSEMITE BLVD, WATERFORD, STANISLAUS, CA",37.6383384,-120.7943254
"10","SJV","2870","SJU","GERAWAN FARMING LLC","1467 E DINUBA AVE","REEDLEY",NA,"723","FRE","14.8","0","0.33","0.58","SAN JOAQUIN VALLEY APCD",NA,NA,"1325.993152","2018","FRESNO","1467 E DINUBA AVE, REEDLEY, FRESNO, CA",36.5895822,-119.433564
"36","MD","1418","MOJ","HELENDALE COMMUNITY SERVICES DISTRICT","27079 HELENDALE ROAD","HELENDALE","92342","4952","SBD","9.88",NA,NA,NA,"MOJAVE DESERT AQMD",NA,NA,"12.64594","2018","SAN BERNARDINO","27079 HELENDALE ROAD, HELENDALE, SAN BERNARDINO, CA",34.7592941,-117.3303004
"10","SJV","633","SJU","HMC GROUP COLD STORAGE, THE","13138 S BETHEL AVE","KINGSBURG","93631","723","FRE","0.22",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"1588.500023","2018","FRESNO","13138 S BETHEL AVE, KINGSBURG, FRESNO, CA",36.5440795,-119.5716967
"15","SJV","4216","SJU","JASMINE VINEYARDS","33319 POND RD","DELANO","93215","172","KER",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2018","KERN","33319 POND RD, DELANO, KERN, CA",35.7180696,-119.2366179
"54","SJV","2716","SJU","JODY FRESH COOLING COMPANY","4731 AVENUE 400","DINUBA","93618","4222","TUL",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"222.0000029","2018","TULARE","4731 AVENUE 400, DINUBA, TULARE, CA",36.5342308,-119.3805667
"24","SJV","3032","SJU","JOHN B. SANFILIPPO & SON, INC.","29241 COTTONWOOD RD","GUSTINE","95322","723","MER","1.1",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2018","MERCED","29241 COTTONWOOD RD, GUSTINE, MERCED, CA",37.1870668,-121.015949
"39","SJV","1152","SJU","LODI EXPORT CORP","48 E OAK ST","LODI","95241","723","SJ",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2018","SAN JOAQUIN","48 E OAK ST, LODI, SAN JOAQUIN, CA",38.132383,-121.271891
"39","SJV","1103","SJU","M & R COMPANY","405 S MAIN ST","LODI","95240","723","SJ","37.1",NA,"0.97",NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"1740.380945","2018","SAN JOAQUIN","405 S MAIN ST, LODI, SAN JOAQUIN, CA",38.1293808,-121.2709419
"54","SJV","7377","SJU","NEW LEAF COLD STORAGE","3170 AVENUE 360","TRAVER",NA,"4222","TUL",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"644.7999924","2018","TULARE","3170 AVENUE 360, TRAVER, TULARE, CA",36.4445179,-119.4806925
"20","SJV","981","SJU","P-R FARMS","17710 ROAD 24","MADERA","0","723","MAD","0.81",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"810.0000024","2018","MADERA","17710 ROAD 24, MADERA, MADERA, CA",37.00682,-120.1019131
"10","SJV","946","SJU","POINDEXTER NUT CO","5414 E FLORAL AVE","SELMA","93662","723","FRE","0.35",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"254.4000149","2018","FRESNO","5414 E FLORAL AVE, SELMA, FRESNO, CA",36.5763703,-119.6326712
"24","SJV","1397","SJU","PUSATERI NUT COMPANY","126 4TH ST","GUSTINE","95322","723","MER","0.7",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"204.0000036358835","2018","MERCED","126 4TH ST, GUSTINE, MERCED, CA",37.2597713,-120.9995022
"39","SJV","5000","SJU","RDJ FARMS DBA DANAMARK","7367 E MARIPOSA RD","STOCKTON","95215","723","SJ","0.6",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"930.0000072","2018","SAN JOAQUIN","7367 E MARIPOSA RD, STOCKTON, SAN JOAQUIN, CA",37.9127404,-121.1867358
"39","SJV","8844","SJU","RIVERMAID TRADING, CO.","6011 EAST PINE","LODI","95241","723","SJ",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"4725.000023","2018","SAN JOAQUIN","6011 EAST PINE, LODI, SAN JOAQUIN, CA",38.1340893,-121.2428789
"47","NEP","29","SIS","ROSEBURG FOREST PRODUCTS","MILL ST","WEED","96094","2436","SIS",NA,"1.72","0.12","0.14","SISKIYOU COUNTY APCD","Y",NA,"29.2","2018","SISKIYOU","MILL ST, WEED, SISKIYOU, CA",41.4335195,-122.3773579
"10","SJV","1076","SJU","SAN JOAQUIN FIGS","3564 N HAZEL AVE","FRESNO","93722","723","FRE",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2018","FRESNO","3564 N HAZEL AVE, FRESNO, FRESNO, CA",36.7892724,-119.849827
"10","SJV","3029","SJU","SAN JOAQUIN FIGS","6875 NORTH VAN BUREN AVE","FRESNO","93722","723","FRE",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2018","FRESNO","6875 NORTH VAN BUREN AVE, FRESNO, FRESNO, CA",36.8373287,-119.9164625
"12","NC","95","NCU","SCHMIDBAUER LUMBER","1099 WEST WATERFRONT DRIVE","EUREKA","95501","2421","HUM","66.88",NA,NA,NA,"NORTH COAST UNIFIED AQMD",NA,"A","0.5663531","2018","HUMBOLDT","1099 WEST WATERFRONT DRIVE, EUREKA, HUMBOLDT, CA",40.7963233,-124.1830712
"7","SF","11","BA","SHELL MARTINEZ REFINERY","3485 PACHECO BLVD","MARTINEZ","94553","2911","CC",NA,"9","0.02",NA,"BAY AREA AQMD",NA,NA,"15.89753921","2018","CONTRA COSTA","3485 PACHECO BLVD, MARTINEZ, CONTRA COSTA, CA",38.0033096,-122.083362
"58","SV","34016","FR","SHOEI FOODS (U.S.A.) INC","1900 FEATHER RIVER BLVD","OLIVEHURST",NA,"723","YUB","0.41",NA,NA,NA,"FEATHER RIVER AQMD",NA,NA,"10711","2018","YUBA","1900 FEATHER RIVER BLVD, OLIVEHURST, YUBA, CA",39.1097056,-121.5809304
"51","SV","33010","FR","STEPHENS DRYERS","8540 GARDEN HWY","YUBA CITY","95991","723","SUT","4.81",NA,NA,NA,"FEATHER RIVER AQMD",NA,NA,"0","2018","SUTTER","8540 GARDEN HWY, YUBA CITY, SUTTER, CA",39.113214,-121.6173582
"51","SV","16004","FR","SUNSWEET GROWERS INC.","901 NORTH WALTON AVENUE","YUBA CITY","95991","723","SUT","4.72",NA,NA,NA,"FEATHER RIVER AQMD",NA,NA,"0","2018","SUTTER","901 NORTH WALTON AVENUE, YUBA CITY, SUTTER, CA",39.1387038,-121.6412971
"15","SJV","2747","SJU","SUNVIEW COLD STORAGE","31548 PETERSON RD","MCFARLAND","93250","4222","KER",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"1183.699965","2018","KERN","31548 PETERSON RD, MCFARLAND, KERN, CA",35.704532,-119.2284268
"54","SJV","2785","SJU","SUNVIEW COLD STORAGE","315 N FRONT ST","EARLIMART",NA,"4222","TUL",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2018","TULARE","315 N FRONT ST, EARLIMART, TULARE, CA",35.8862975,-119.2741478
"34","SV","2","SAC","TEICHERT PERKINS PLANT","8760 KIEFER BLVD","SACRAMENTO","95826","1423","SAC","82.89",NA,NA,NA,"SACRAMENTO METROPOLITAN AQMD",NA,NA,"0.592961181","2018","SACRAMENTO","8760 KIEFER BLVD, SACRAMENTO, SACRAMENTO, CA",38.5469968,-121.3758623
"20","SJV","8416","SJU","THE ALMOND COMPANY","2900 AIRPORT DRIVE","MADERA",NA,"723","MAD","2.75",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"1246.000051","2018","MADERA","2900 AIRPORT DRIVE, MADERA, MADERA, CA",36.9921045,-120.1064319
"1","SF","12811","BA","THE TERMINIX INTERNATIONAL CO","14558 WICKS BOULEVARD","SAN LEANDRO","94577","7342","ALA",NA,NA,NA,NA,"BAY AREA AQMD",NA,NA,"293.1944057","2018","ALAMEDA","14558 WICKS BOULEVARD, SAN LEANDRO, ALAMEDA, CA",37.6962046,-122.1644649
"15","SJV","634","SJU","TREEHOUSE CALIFORNIA ALMONDS LLC","2114 ROAD 144","DELANO",NA,"723","KER","0.12",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2018","KERN","2114 ROAD 144, DELANO, KERN, CA",35.7357696,-119.2360254
"15","MD","601","KER","TRICAL, INC","1667 PURDY AVENUE","MOJAVE","93501","2879","KER","0.7",NA,NA,NA,"EASTERN KERN APCD",NA,NA,"365.5942649","2018","KERN","1667 PURDY AVENUE, MOJAVE, KERN, CA",35.0251787,-118.1460147
"50","SJV","8778","SJU","TURLOCK WALNUT COMPANY","400 D ST","TURLOCK","95380","723","STA",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2018","STANISLAUS","400 D ST, TURLOCK, STANISLAUS, CA",37.4875556,-120.8456215
"34","SV","171","SAC","UCD MEDICAL CENTER","4800 2ND AVENUE","SACRAMENTO","95817","8062","SAC","463.18",NA,NA,NA,"SACRAMENTO METROPOLITAN AQMD",NA,NA,"0","2018","SACRAMENTO","4800 2ND AVENUE, SACRAMENTO, SACRAMENTO, CA",38.5504767,-121.451504
"1","SF","2066","BA","WASTE MANAGEMENT OF ALAMEDA COUNTY","10840 ALTAMONT PASS RD","LIVERMORE","94551","4953","ALA",NA,"7.9","0.11",NA,"BAY AREA AQMD",NA,NA,"0.522209341","2018","ALAMEDA","10840 ALTAMONT PASS RD, LIVERMORE, ALAMEDA, CA",37.7163616,-121.7078948
"54","SJV","8135","SJU","WAWONA PACKING","12133 AVENUE 408","CUTLER",NA,"723","TUL","0.38",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"483.9999974","2018","TULARE","12133 AVENUE 408, CUTLER, TULARE, CA",36.530327,-119.3018447
"54","SJV","3338","SJU","WES PAK INC","4572 AVENUE 400","DINUBA","93618","723","TUL","0.07",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"214.3999934","2018","TULARE","4572 AVENUE 400, DINUBA, TULARE, CA",36.5342308,-119.3805667
"34","SV","192","SAC","A. TEICHERT & SON","8760 KIEFER BLVD","SACRAMENTO","95826","2951","SAC","82.9","1.53","0.04","0.34","SACRAMENTO METROPOLITAN AQMD","N",NA,"0.592961181","2019","SACRAMENTO","8760 KIEFER BLVD, SACRAMENTO, SACRAMENTO, CA",38.5469968,-121.3758623
"56","SCC","845","VEN","ANACAPA BERRY FARMS","4300 ETTING RD.","OXNARD","93033","723","VEN","0.03",NA,NA,NA,"VENTURA COUNTY APCD",NA,NA,"84","2019","VENTURA","4300 ETTING RD., OXNARD, VENTURA, CA",34.1617597,-119.1461202
"51","SV","24014","FR","ANDEAN NATURALS INC","1200 PUTMAN AVENUE",NA,"95991","723","SUT","2.88",NA,NA,NA,"FEATHER RIVER AQMD",NA,NA,"23","2019","SUTTER","1200 PUTMAN AVENUE, NA, SUTTER, CA",39.1112432,-121.6090641
"24","SJV","1166","SJU","ANDERSEN NUT COMPANY","3050 S HUNT RD","GUSTINE","95322","723","MER","5.38",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"14.00000043","2019","MERCED","3050 S HUNT RD, GUSTINE, MERCED, CA",37.2450245,-120.9939363
"36","MD","500","MOJ","BARSTOW WASTEWATER TREATMENT PLANT","2200 E RIVERSIDE DRIVE","BARSTOW","92311","4952","SBD","8.9",NA,NA,NA,"MOJAVE DESERT AQMD",NA,NA,"7.270201594","2019","SAN BERNARDINO","2200 E RIVERSIDE DRIVE, BARSTOW, SAN BERNARDINO, CA",34.8965574,-117.000534
"12","NC","97","NCU","BLUE LAKE POWER","200 TAYLOR WAY","BLUE LAKE","95525","4911","HUM","4.99",NA,NA,NA,"NORTH COAST UNIFIED AQMD",NA,"A","0","2019","HUMBOLDT","200 TAYLOR WAY, BLUE LAKE, HUMBOLDT, CA",40.878664,-123.994479
"10","SJV","3865","SJU","BOGHOSIAN RAISIN PACKING COMPANY, INC.","726 S 8TH ST","FOWLER","93625","723","FRE",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2019","FRESNO","726 S 8TH ST, FOWLER, FRESNO, CA",36.6243185,-119.6762548
"36","MD","169","MOJ","CALMAT - 20181 NAT'L TRAILS","20181 NATIONAL TRAILS HIGHWAY","ORO GRANDE","92368","2951","SBD","9.17",NA,NA,NA,"MOJAVE DESERT AQMD",NA,NA,"0.05798627","2019","SAN BERNARDINO","20181 NATIONAL TRAILS HIGHWAY, ORO GRANDE, SAN BERNARDINO, CA",34.5959326,-117.334549
"7","SF","10","BA","CHEVRON PRODUCTS COMPANY","841 CHEVRON WAY","RICHMOND","94802","2911","CC",NA,"8","0.02",NA,"BAY AREA AQMD",NA,NA,"57.86369812","2019","CONTRA COSTA","841 CHEVRON WAY, RICHMOND, CONTRA COSTA, CA",37.9321355,-122.3911055
"10","SJV","317","SJU","CHOOLJIAN BROS PACKING CO","3192 S INDIANOLA","SANGER","93657","723","FRE",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2019","FRESNO","3192 S INDIANOLA, SANGER, FRESNO, CA",36.7213904,-119.5831314
"33","MD","1422","MOJ","CHUCKAWALLA VALLEY STATE PRISON","19005 WILEY'S WELL ROAD","BLYTHE",NA,"9223","RIV","7",NA,NA,NA,"MOJAVE DESERT AQMD",NA,NA,"22.88037496","2019","RIVERSIDE","19005 WILEY'S WELL ROAD, BLYTHE, RIVERSIDE, CA",33.5614912,-114.9267021
"20","SJV","4265","SJU","D.V. ENTERPRISES","20282 ROAD 21","MADERA","93638","723","MAD","0.43",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"389.9999857","2019","MADERA","20282 ROAD 21, MADERA, MADERA, CA",37.0836557,-120.1659509
"39","SJV","2395","SJU","DELTA PACKING CO. OF LODI,INC.","6021 E KETTLEMAN LANE","LODI","95240","723","SJ","2.98",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"3477.999926","2019","SAN JOAQUIN","6021 E KETTLEMAN LANE, LODI, SAN JOAQUIN, CA",38.1159094,-121.2424831
"12","NC","96","NCU","DG FAIRHAVEN POWER COMPANY","97 BAY STREET","SAMOA","95564","4911","HUM","16",NA,NA,NA,"NORTH COAST UNIFIED AQMD",NA,"A","23.14838","2019","HUMBOLDT","97 BAY STREET, SAMOA, HUMBOLDT, CA",40.8183358,-124.1856962
"39","SJV","285","SJU","DIAMOND FOODS, LLC","1050 S DIAMOND ST","STOCKTON","95201","723","SJ",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"819.9999928","2019","SAN JOAQUIN","1050 S DIAMOND ST, STOCKTON, SAN JOAQUIN, CA",37.9453226,-121.2558398
"56","SCC","507","VEN","DRISCOLL STRAWBERRY ASSOCIATES","3939 E HUENEME RD","OXNARD","93030","5148","VEN","0.29",NA,NA,NA,"VENTURA COUNTY APCD",NA,NA,"510","2019","VENTURA","3939 E HUENEME RD, OXNARD, VENTURA, CA",34.147292,-119.1415054
"1","SF","591","BA","EAST BAY MUNICIPAL UTILITY DISTRICT","2020 WAKE AVENUE","OAKLAND","94607","4952","ALA",NA,"8","0.06",NA,"BAY AREA AQMD",NA,NA,"8.85843081","2019","ALAMEDA","2020 WAKE AVENUE, OAKLAND, ALAMEDA, CA",37.8249523,-122.2958661
"15","MD","47","KER","EDWARDS AFB",NA,NA,NA,"9711","KER","3.04",NA,NA,NA,"EASTERN KERN APCD",NA,NA,"157.512","2019","KERN","NA, NA, KERN, CA",50.9065937,7.2894272
"20","SJV","8250","SJU","EL DORADO ALMONDS LLC","21888 AVENUE 14","MADERA",NA,"723","MAD","0.88",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"3000","2019","MADERA","21888 AVENUE 14, MADERA, MADERA, CA",36.9528289,-120.148451
"39","SJV","239","SJU","FELIX COSTA","13160 N WEST LN","LODI","95240","723","SJ","0.01",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"13.09813556","2019","SAN JOAQUIN","13160 N WEST LN, LODI, SAN JOAQUIN, CA",38.1009745,-121.2786765
"10","SJV","973","SJU","FIG GARDEN PACKING INC.","5545 W DAKOTA AVE","FRESNO","93722","723","FRE",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"272.0000148","2019","FRESNO","5545 W DAKOTA AVE, FRESNO, FRESNO, CA",36.7861886,-119.8903315
"50","SJV","3838","SJU","FRAZIER NUT FARMS, INC","10830 YOSEMITE BLVD","WATERFORD","95386","723","STA","3.85",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"79.99999821","2019","STANISLAUS","10830 YOSEMITE BLVD, WATERFORD, STANISLAUS, CA",37.6383384,-120.7943254
"10","SJV","2870","SJU","GERAWAN FARMING LLC","1467 E DINUBA AVE","REEDLEY",NA,"723","FRE","14.8","0","0.33","0.58","SAN JOAQUIN VALLEY APCD",NA,NA,"1325.993152","2019","FRESNO","1467 E DINUBA AVE, REEDLEY, FRESNO, CA",36.5895822,-119.433564
"36","MD","1418","MOJ","HELENDALE COMMUNITY SERVICES DISTRICT","27079 HELENDALE ROAD","HELENDALE","92342","4952","SBD","0.19",NA,NA,NA,"MOJAVE DESERT AQMD",NA,NA,"12.64594","2019","SAN BERNARDINO","27079 HELENDALE ROAD, HELENDALE, SAN BERNARDINO, CA",34.7592941,-117.3303004
"10","SJV","633","SJU","HMC GROUP COLD STORAGE, THE","13138 S BETHEL AVE","KINGSBURG","93631","723","FRE","0.22",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"1588.500023","2019","FRESNO","13138 S BETHEL AVE, KINGSBURG, FRESNO, CA",36.5440795,-119.5716967
"15","SJV","4216","SJU","JASMINE VINEYARDS","33319 POND RD","DELANO","93215","172","KER",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2019","KERN","33319 POND RD, DELANO, KERN, CA",35.7180696,-119.2366179
