CO,AB,FACID,DIS,FNAME,FSTREET,FCITY,FZIP,FSIC,COID,TS,HRA,CHINDEX,AHINDEX,DISN,CHAPIS,CERR_CODE,EMS
39,SJV,717,SJU,"A. SAMBADO & SON, INC.",16461 E COMSTOCK RD,LINDEN,95236,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,6548.200033
34,SV,1,SAC,"AEROJET ROCKETDYNE, INC.",AEROJET ROAD & HWY 50,RANCHO CORDOVA,95852,3761,SAC,1264,1.49,0.01,0.63,SACRAMENTO METROPOLITAN AQMD,N,,0.00000174
50,SJV,8521,SJU,ALPINE PACIFIC NUT COMPANY INC,6413 E KEYES RD,HUGHSON,95326,723,STA,0.72,,,,SAN JOAQUIN VALLEY APCD,,,594.9999988
56,SCC,845,VEN,ANACAPA BERRY FARMS,4300 ETTING RD.,OXNARD,93033,723,VEN,0.03,,,,VENTURA COUNTY APCD,,,84
51,SV,24014,FR,ANDEAN NATURALS INC,1200 PUTMAN AVENUE,,95991,723,SUT,2.88,,,,FEATHER RIVER AQMD,,,23
24,SJV,1166,SJU,ANDERSEN NUT COMPANY,3050 S HUNT RD,GUSTINE,95322,723,MER,5.38,,,,SAN JOAQUIN VALLEY APCD,,,1799.999952
39,SJV,7250,SJU,AVANTI NUT COMPANY,9982 PEZZI LANE,STOCKTON,95215,723,SJ,0,,,,SAN JOAQUIN VALLEY APCD,,,0
4,SV,111,BUT,BERBERIAN NUT COMPANY,6100 WILSON LANDING ROAD,CHICO,95973,2034,BUT,,,,,BUTTE COUNTY AQMD,,,1458
12,NC,97,NCU,BLUE LAKE POWER,200 TAYLOR WAY,BLUE LAKE,95525,4911,HUM,4.99,,,,NORTH COAST UNIFIED AQMD,,A,0
10,SJV,3865,SJU,"BOGHOSIAN RAISIN PACKING COMPANY, INC.",726 S 8TH ST,FOWLER,93625,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,0
36,MD,169,MOJ,CALMAT - 20181 NAT'L TRAILS,20181 NATIONAL TRAILS HIGHWAY,ORO GRANDE,92368,2951,SBD,1.01,,,,MOJAVE DESERT AQMD,,,0.02522849
11,SV,1175,GLE,CARRIERE FAMILY FARMS (PROCESSING PLANT),1640 HWY 45,GLENN,95943,723,GLE,,,,,GLENN COUNTY APCD,,,0.007376
39,SJV,3266,SJU,CHINCHIOLO STEMILT CALIFORNIA LLC,4799 N  JACK TONE RD,STOCKTON,95215,2099,SJ,4.42,,,,SAN JOAQUIN VALLEY APCD,,,3545.999944
10,SJV,317,SJU,CHOOLJIAN BROS PACKING CO,3192 S INDIANOLA,SANGER,93657,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,0
33,MD,1422,MOJ,CHUCKAWALLA VALLEY STATE PRISON,19025 WILEYS WELL ROAD,BLYTHE,92226,9223,RIV,4.6,,,,MOJAVE DESERT AQMD,,,37.10425795
20,SJV,4265,SJU,D.V. ENTERPRISES,20282 ROAD 21,MADERA,93638,723,MAD,,,,,SAN JOAQUIN VALLEY APCD,,,349.999994
39,SJV,2395,SJU,"DELTA PACKING CO. OF LODI,INC.",6021 E KETTLEMAN LANE,LODI,95240,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,6000
12,NC,96,NCU,DG FAIRHAVEN POWER COMPANY,97 BAY STREET,SAMOA,95564,4911,HUM,16,,,,NORTH COAST UNIFIED AQMD,,A,12.24074
39,SJV,285,SJU,"DIAMOND FOODS, LLC",1050 S DIAMOND ST,STOCKTON,95201,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,620.0000048
56,SCC,507,VEN,DRISCOLL STRAWBERRY ASSOCIATES,3939 E HUENEME RD,OXNARD,93030,5148,VEN,0.29,,,,VENTURA COUNTY APCD,,,510
1,SF,591,BA,EAST BAY MUNICIPAL UTILITY DISTRICT,2020 WAKE AVENUE,OAKLAND,94607,4952,ALA,,8,0.06,,BAY AREA AQMD,,,10.12763543
15,MD,47,KER,EDWARDS AIR FORCE BASE,120 NORTH ROSAMOND BLVD STE A,EDWARDS AFB,93524,9711,KER,0.82,,,,EASTERN KERN APCD,,,121.5929
20,SJV,8250,SJU,EL DORADO ALMONDS LLC,21888 AVENUE 14,MADERA,,723,MAD,0.88,,,,SAN JOAQUIN VALLEY APCD,,,3000
39,SJV,239,SJU,FELIX COSTA,13160 N WEST LN,LODI,95240,723,SJ,0.01,,,,SAN JOAQUIN VALLEY APCD,,,123.098135
10,SJV,973,SJU,FIG GARDEN PACKING INC.,5545 W DAKOTA AVE,FRESNO,93722,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,167.9999977
39,SJV,4752,SJU,FOPPIANO RANCH,500 N JACK TONE RD,STOCKTON,95215,2879,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,5791.000128
36,MD,2806,MOJ,FORT IRWIN WASTEWATER TREATMENT PLANT,"WASTEWATER TREATMENT PLANT, BLDG 700",FORT IRWIN,92310,9511,SBD,8.53,,,,MOJAVE DESERT AQMD,,,22.805
50,SJV,3838,SJU,"FRAZIER NUT FARMS, INC",10830 YOSEMITE BLVD,WATERFORD,95386,723,STA,3.85,,,,SAN JOAQUIN VALLEY APCD,,,209.9999934
10,SJV,2870,SJU,GERAWAN FARMING LLC,1467 E DINUBA AVE,REEDLEY,,723,FRE,14.8,0,0.33,0.58,SAN JOAQUIN VALLEY APCD,,,1325.993152
54,SJV,2959,SJU,GIUMARRA BROS FRUIT COMPANY,3646 AVENUE 416,REEDLEY,93654,723,TUL,0.05,,,,SAN JOAQUIN VALLEY APCD,,,56.60000071
50,SJV,4474,SJU,GOLDEN STATE FOOD LLC,719 E GRAYSON RD,MODESTO,95358,723,STA,,,,,SAN JOAQUIN VALLEY APCD,,,0
50,SJV,6082,SJU,GROWER DIRECT NUT COMPANY,2288 GEER RD,HUGHSON,95326,723,STA,,,,,SAN JOAQUIN VALLEY APCD,,,4525.000095
36,MD,1418,MOJ,HELENDALE COMMUNITY SERVICES DISTRICT,27079 HELENDALE ROAD,HELENDALE,92342,4952,SBD,9.88,,,,MOJAVE DESERT AQMD,,,12.64594
24,SJV,4751,SJU,HILLTOP RANCH,8235 W TURLOCK RD,BALLICO,95303,723,MER,,,,,SAN JOAQUIN VALLEY APCD,,,29.69999984
24,SJV,1275,SJU,HILMAR CHEESE COMPANY,9001 N LANDER AVE.,HILMAR,95324,2022,MER,,,,,SAN JOAQUIN VALLEY APCD,,,0.01418004
10,SJV,633,SJU,"HMC GROUP COLD STORAGE, THE",13138 S BETHEL AVE,KINGSBURG,93631,723,FRE,0.22,,,,SAN JOAQUIN VALLEY APCD,,,1588.500023
54,SJV,2645,SJU,"HORIZON NUT, LLC",26487 N HIGHWAY 99,TULARE,93274,723,TUL,1.67,,,,SAN JOAQUIN VALLEY APCD,,,1119.500041
15,SJV,4216,SJU,JASMINE VINEYARDS,33319 POND RD,DELANO,93215,172,KER,,,,,SAN JOAQUIN VALLEY APCD,,,0
54,SJV,2716,SJU,JODY FRESH COOLING COMPANY,4731 AVENUE 400,DINUBA,93618,4222,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,222.0000029
24,SJV,3032,SJU,"JOHN B. SANFILIPPO & SON, INC.",29241 COTTONWOOD RD,GUSTINE,95322,723,MER,1.1,,,,SAN JOAQUIN VALLEY APCD,,,0
10,SJV,3078,SJU,KINGSBURG APPLE PARTNERS INC,10363 E DAVIS RD,KINGSBURG,93631,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,0
54,SJV,3089,SJU,KOOL KOUNTRY LLC,42874 ROAD 64,REEDLEY,93654,4222,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,930.5999875
10,SJV,4342,SJU,KY PACKING LLC,8686 S. RIO VISTA,REEDLEY,93654,723,FRE,0.07,,,,SAN JOAQUIN VALLEY APCD,,,0
54,SJV,3515,SJU,LEGACY PACKING AND COLD STORAGE,38773 ROAD 48,DINUBA,93618,723,TUL,4.15,,,,SAN JOAQUIN VALLEY APCD,,,1506.000042
39,SJV,5058,SJU,LINDEN NUT CO LLC,8452 N DEMARTINI LN,LINDEN,95236,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,0
39,SJV,1152,SJU,LODI EXPORT CORP,48 E OAK ST,LODI,95241,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,0
39,SJV,1103,SJU,M & R COMPANY,405 S MAIN ST,LODI,95240,723,SJ,37.1,,0.97,,SAN JOAQUIN VALLEY APCD,,,1740.380945
50,SJV,4963,SJU,MID VALLEY NUT COMPANY,2065 GEER RD,HUGHSON,95326,723,STA,,,,,SAN JOAQUIN VALLEY APCD,,,75.00000298
36,MD,1,MOJ,MITSUBISHI CUSHENBURY PLANT,5808 STATE HIGHWAY 18,LUCERNE VALLEY,92356,3241,SBD,8.79,,,,MOJAVE DESERT AQMD,,,3988.042466
50,SJV,2055,SJU,MONTE VISTA FARMING COMPANY,5043 MONTPELIER RD,DENAIR,95316,723,STA,,,,,SAN JOAQUIN VALLEY APCD,,,189.000003
54,SJV,2810,SJU,MOUNTAIN VIEW COLD STORAGE,4275 AVENUE 416,REEDLEY,93654,4222,TUL,0.35,,,,SAN JOAQUIN VALLEY APCD,,,1172.199965
15,MD,21,KER,NATIONAL CEMENT CO,5 MI. N OF HWY 138-5 MI E/I-5,LEBEC,93243,3241,KER,0,0.3,0.02,0.02,EASTERN KERN APCD,,,3761.8
36,MD,567,MOJ,NAWS CHINA LAKE,"429 E. BOWEN RD., MS 4014",CHINA LAKE,93555,9711,SBD,4.14,,,,MOJAVE DESERT AQMD,,,0.004356672
54,SJV,7377,SJU,NEW LEAF COLD STORAGE,3170 AVENUE 360,TRAVER,,4222,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,644.7999924
39,SJV,588,SJU,O G  PACKING,2097 BEYER LN,STOCKTON,95215,723,SJ,0.97,,,,SAN JOAQUIN VALLEY APCD,,,4198.000074
20,SJV,981,SJU,P-R FARMS,17710 ROAD 24,MADERA,0,723,MAD,0.81,,,,SAN JOAQUIN VALLEY APCD,,,810.0000024
10,SJV,946,SJU,POINDEXTER NUT CO,5414 E FLORAL AVE,SELMA,93662,723,FRE,0.35,,,,SAN JOAQUIN VALLEY APCD,,,254.4000149
24,SJV,1397,SJU,PUSATERI NUT COMPANY,126 4TH ST,GUSTINE,95322,723,MER,0.7,,,,SAN JOAQUIN VALLEY APCD,,,204.0000036358835
39,SJV,5000,SJU,RDJ FARMS DBA DANAMARK,7367 E MARIPOSA RD,STOCKTON,95215,723,SJ,0.6,,,,SAN JOAQUIN VALLEY APCD,,,930.0000072
31,SV,212,PLA,RIO BRAVO,3100 SPARTA COURT,LINCOLN,95648,4911,PLA,51.24,,,,PLACER COUNTY APCD,,,17.9
39,SJV,8844,SJU,"RIVERMAID TRADING, CO.",6011 EAST PINE,LODI,95241,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,4725.000023
47,NEP,29,SIS,ROSEBURG FOREST PRODUCTS,MILL ST,WEED,96094,2436,SIS,,1.72,0.12,0.14,SISKIYOU COUNTY APCD,Y,,29.2
20,SJV,3301,SJU,RUSSELL HARRIS,22782 ROAD 9,CHOWCHILLA,93610,723,MAD,0,,,,SAN JOAQUIN VALLEY APCD,,,0.311749995
51,SV,16000,FR,SACRAMENTO PACKING INC,833 TUDOR,YUBA CITY,95991,723,SUT,0.51,,,,FEATHER RIVER AQMD,,,3720
51,SV,33007,FR,SACRAMENTO VALLEY WALNUT GROWERS,896 O'BANION ROAD,YUBA CITY,95991,723,SUT,0,,,,FEATHER RIVER AQMD,,,0
10,SJV,1076,SJU,SAN JOAQUIN FIGS,3564 N HAZEL AVE,FRESNO,93722,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,0
10,SJV,3029,SJU,SAN JOAQUIN FIGS,6875 NORTH VAN BUREN AVE,FRESNO,93722,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,0
12,NC,95,NCU,SCHMIDBAUER LUMBER,1099 WEST WATERFRONT DRIVE,EUREKA,95501,2421,HUM,66.88,,,,NORTH COAST UNIFIED AQMD,,A,0.5663531
7,SF,11,BA,SHELL MARTINEZ REFINERY,3485 PACHECO BLVD,MARTINEZ,94553,2911,CC,,9,0.02,,BAY AREA AQMD,,,15.89753921
58,SV,34016,FR,SHOEI FOODS (U.S.A.) INC,1900 FEATHER RIVER BLVD,OLIVEHURST,,723,YUB,0.41,,,,FEATHER RIVER AQMD,,,10711
10,SJV,2093,SJU,SIMONIAN FRUIT COMPANY,350 N SEVENTH ST,FOWLER,93625,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,0
51,SV,33010,FR,STEPHENS DRYERS,8540 GARDEN HWY,YUBA CITY,95991,723,SUT,4.81,,,,FEATHER RIVER AQMD,,,0
54,SJV,8313,SJU,SUN VALLEY PACKING CO,7381 AVENUE 432,REEDLEY,,4221,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,0
51,SV,16004,FR,SUNSWEET GROWERS INC.,901 NORTH WALTON AVENUE,YUBA CITY,95991,723,SUT,4.72,,,,FEATHER RIVER AQMD,,,0
15,SJV,2747,SJU,SUNVIEW COLD STORAGE,31548 PETERSON RD,MCFARLAND,93250,4222,KER,,,,,SAN JOAQUIN VALLEY APCD,,,1183.699965
54,SJV,2785,SJU,SUNVIEW COLD STORAGE,315 N FRONT ST,EARLIMART,,4222,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,0
34,SV,14,SAC,TEICHERT GRANTLINE PLANT,3417 GRANTLINE RD,RANCHO CORDOVA,95742,1423,SAC,0.14,,,,SACRAMENTO METROPOLITAN AQMD,,,0
34,SV,2,SAC,TEICHERT PERKINS PLANT,8760 KIEFER BLVD,SACRAMENTO,95826,1423,SAC,82.89,,,,SACRAMENTO METROPOLITAN AQMD,,,0.592961181
20,SJV,8416,SJU,THE ALMOND COMPANY,2900 AIRPORT DRIVE,MADERA,,723,MAD,2.75,,,,SAN JOAQUIN VALLEY APCD,,,1246.000051
39,SJV,5053,SJU,"THE DERUOSI GROUP, LP",25055 E ARTHUR RD,ESCALON,95320,723,SJ,5.77,,,,SAN JOAQUIN VALLEY APCD,,,153.9999992
1,SF,12811,BA,THE TERMINIX INTERNATIONAL CO,14558 WICKS BOULEVARD,SAN LEANDRO,94577,7342,ALA,,,,,BAY AREA AQMD,,,293.1944057
15,SJV,634,SJU,TREEHOUSE CALIFORNIA ALMONDS LLC,2114 ROAD 144,DELANO,,723,KER,0.12,,,,SAN JOAQUIN VALLEY APCD,,,0
15,MD,601,KER,"TRICAL, INC",1667 PURDY AVENUE,MOJAVE,93501,2879,KER,0.7,,,,EASTERN KERN APCD,,,365.5942649
50,SJV,8778,SJU,TURLOCK WALNUT COMPANY,400 D ST,TURLOCK,95380,723,STA,,,,,SAN JOAQUIN VALLEY APCD,,,0
34,SV,171,SAC,UCD MEDICAL CENTER,4800 2ND AVENUE,SACRAMENTO,95817,8062,SAC,463.18,,,,SACRAMENTO METROPOLITAN AQMD,,,0
51,SV,34015,FR,VALLEY VIEW PACKING CO,7547 SAWTELLE AVE,YUBA CITY,95991,2034,SUT,4.14,,,,FEATHER RIVER AQMD,,,430
36,MD,3069,MOJ,VICTORVILLE SCLA CENTRAL TREATMENT FACILITY,"SO 1/2 SEC 14, T6N R5W",VICTORVILLE,92392,4952,SBD,3.86,,,,MOJAVE DESERT AQMD,,,54.2386715
54,SJV,968,SJU,VINCENT B ZANINOVICH & SONS,20715 AVE 8,RICHGROVE,,4222,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,0
16,SJV,3071,SJU,WARMERDAM PACKING,15650 EXCELSIOR AVE,HANFORD,93230,2033,KIN,,,,,SAN JOAQUIN VALLEY APCD,,,4980.000019
1,SF,2066,BA,WASTE MANAGEMENT OF ALAMEDA COUNTY,10840 ALTAMONT PASS RD,LIVERMORE,94551,4953,ALA,,7.9,0.11,,BAY AREA AQMD,,,0.522209341
54,SJV,8135,SJU,WAWONA PACKING,12133 AVENUE 408,CUTLER,,723,TUL,0.38,,,,SAN JOAQUIN VALLEY APCD,,,483.9999974
54,SJV,3338,SJU,WES PAK INC,4572 AVENUE 400,DINUBA,93618,723,TUL,0.07,,,,SAN JOAQUIN VALLEY APCD,,,214.3999934
15,SJV,377,SJU,WONDERFUL PISTACHIOS & ALMONDS,3.5 MILES N OF HWY 46 ON HWY 33,LOST HILLS,93249,723,KER,,,,,SAN JOAQUIN VALLEY APCD,,,0
